Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
D1;15.12.2018;Fortuna Düsseldorf;SC Freiburg;2;0;H;0;0;D;20;6;8;2;13;9;4;1;2;1;0;0;Þub.75;3.Mar;2.Haz;2.Haz;3.May;Þub.65;Þub.65;3.Nis;Þub.65;Þub.84;Mar.39;Þub.65;Þub.75;3.Mar;Þub.55;2.Aðu;3.Nis;2.Haz;36;Þub.85;Þub.75;3.May;Mar.34;2.Tem;Þub.61;34;Oca.96;Oca.89;Oca.96;1.Eyl;21;0.25;Oca.75;Oca.69;Þub.29;Þub.23;Þub.64;Mar.41;Þub.83
D1;15.12.2018;Hannover 96;FC Bayern München;0;4;A;0;2;A;3;32;0;14;9;5;0;14;1;0;0;0;11;7;Oca.22;11.May;Haz.75;Oca.22;10;6;Oca.27;Kas.28;Haz.59;Oca.26;11;6.May;Oca.22;12;7;Oca.25;36;Ara.75;11.Ara;Tem.25;Haz.61;Oca.28;Oca.24;30;Oca.37;Oca.33;3.Nis;Mar.21;23;2;1.Eyl;Oca.82;Þub.15;2.Mar;Ara.32;Tem.26;Oca.23
D1;15.12.2018;TSG 1899 Hoffenheim;Borussia Mönchengladbach;0;0;D;0;0;D;27;5;6;1;9;10;6;2;0;2;0;0;1.Eyl;4;3.Haz;Oca.95;3.Eyl;3.May;2.Þub;3.May;3.Þub;Oca.96;Nis.31;Mar.51;Oca.91;4.Þub;3.Nis;2;4.Þub;3.Nis;36;2.Þub;Oca.95;Nis.35;4.Kas;3.Haz;Mar.43;30;Oca.36;Oca.33;Mar.45;Mar.17;21;-0.5;2.Þub;Oca.95;Oca.96;Oca.91;Oca.79;Nis.57;Mar.98
D1;15.12.2018;VfB Stuttgart;Hertha BSC;2;1;H;0;1;A;9;15;4;3;11;13;5;5;1;3;0;0;2.Tem;3.Nis;Þub.62;2.Haz;3.May;Þub.65;2.Haz;Mar.35;2.Tem;Þub.83;Mar.46;Þub.62;2.Tem;3.Nis;Þub.55;2.Tem;3.May;Þub.63;36;Þub.83;Þub.73;Mar.55;Mar.39;2.Tem;2.Haz;34;Oca.83;Oca.77;2.Kas;2.Nis;21;0.25;Oca.75;1.Tem;Þub.27;Þub.22;Þub.58;Mar.44;Þub.88
D1;16.12.2018;Eintracht Frankfurt;Bayer 04 Leverkusen;2;1;H;1;0;H;17;12;7;6;9;8;10;7;6;2;0;0;2.Nis;3.May;Þub.87;2.Nis;3.May;2.Eyl;2.Nis;3.May;Þub.85;Þub.38;Mar.71;Þub.99;2.Mar;3.Haz;Þub.88;2.Nis;3.Haz;2.Eyl;36;2.Nis;Þub.35;Mar.75;Mar.58;3;Þub.91;33;Oca.66;1.Haz;Þub.43;Þub.31;20;0;Oca.78;Oca.74;Þub.21;Þub.14;Þub.51;Mar.87;Þub.72
D1;16.12.2018;RB Leipzig;1. FSV Mainz 05;4;1;H;2;1;H;17;11;7;5;9;13;6;2;3;3;0;0;1.Nis;Nis.75;7.May;Oca.45;4.Haz;7;1.May;4.Mar;6.May;Oca.44;Nis.83;Tem.53;Oca.42;Nis.75;7;1.Nis;5;7.May;35;1.May;Oca.43;5.Oca;4.Aðu;7.Aðu;7.Tem;31;1.Haz;Oca.56;2.Haz;Þub.41;23;-1.5;Þub.35;Þub.17;1.Aðu;Oca.72;1.May;Nis.48;7.Þub
D1;18.12.2018;Fortuna Düsseldorf;Borussia Dortmund;2;1;H;1;0;H;8;11;3;3;8;13;2;2;1;2;0;0;7;4.May;Oca.44;7;4.Haz;Oca.45;7;4.May;Oca.45;7.Ara;Nis.63;Oca.48;7;4.Nis;Oca.44;6.May;4.Haz;1.May;36;Tem.26;Haz.79;4.Aðu;Nis.56;1.May;Oca.46;33;Oca.58;Oca.53;Þub.56;Þub.46;23;1.May;1.Tem;Oca.66;Þub.33;Þub.27;6.Haz;Nis.58;Oca.55
D1;18.12.2018;Hertha BSC;FC Augsburg;2;2;D;2;2;D;17;8;7;2;17;13;3;2;1;0;0;0;2.Mar;3.Nis;3.Oca;Þub.25;3.Mar;3.Mar;Þub.25;Mar.45;Mar.15;Þub.31;Mar.46;3.Mar;2.Þub;3.Nis;3.Þub;2.Mar;3.May;3.Þub;36;Þub.32;Þub.27;Mar.55;Mar.41;3.Mar;3.Þub;33;Oca.82;Oca.76;Þub.13;2.Haz;20;-0.5;Þub.31;Þub.26;Oca.72;Oca.68;Þub.28;Mar.46;Mar.35
D1;18.12.2018;Borussia Mönchengladbach;1. FC Nürnberg;2;0;H;0;0;D;17;7;7;2;5;19;6;7;2;3;0;0;Oca.36;5.May;7;Oca.36;May.75;7;Oca.37;5;8;Oca.39;May.16;Aðu.49;Oca.35;May.25;8;Oca.36;5.May;8;35;Oca.39;Oca.37;May.75;May.23;Aðu.55;Tem.87;32;Oca.53;Oca.48;Þub.79;Þub.62;22;-1.5;2.Haz;2.Þub;Oca.88;Oca.84;Oca.38;5.Ara;Aðu.65
D1;18.12.2018;VfL Wolfsburg;VfB Stuttgart;2;0;H;2;0;H;16;11;5;1;10;17;4;8;1;2;0;0;Oca.66;Mar.75;5.May;Oca.72;3.Tem;5;Oca.75;3.Eyl;4.May;Oca.72;Mar.74;May.55;Oca.67;3.Haz;5.May;Oca.73;3.Aðu;May.25;36;Oca.75;1.Tem;3.Eyl;Mar.68;5.Aðu;May.33;33;Oca.98;Oca.91;Oca.94;Oca.89;21;-1;Þub.32;Þub.26;Oca.71;Oca.67;Oca.63;Mar.95;6.Kas
