Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
P1;5.11.2018;GD Chaves;CD Aves;1;2;A;0;1;A;13;11;2;5;10;15;6;4;3;3;0;0;2;3.Þub;4.Þub;Oca.95;3.Nis;Mar.75;2;Mar.25;Mar.65;2.Aðu;Mar.43;Mar.86;2.May;3.Nis;3.Haz;2.May;3.Nis;Mar.75;37;2.Oca;2.Oca;Mar.45;Mar.34;4.Þub;Mar.72;34;Þub.16;2.Haz;1.Aðu;Oca.73;16;-0.5;2.Tem;2.Þub;Oca.87;Oca.82;Þub.14;Mar.36;Mar.84
P1;5.11.2018;Rio Ave FC;CD Nacional;3;3;D;2;1;H;13;13;5;6;13;17;3;3;2;5;0;0;Oca.64;3.Aðu;5;Oca.62;Mar.75;May.25;Oca.67;3.Aðu;4.Tem;Oca.71;4.Oca;Nis.97;1.Tem;3.Eyl;4.Haz;1.Tem;3.Eyl;4.Aðu;37;Oca.72;Oca.67;4.May;Mar.85;May.25;4.Aðu;34;Oca.87;Oca.81;2.Oca;Oca.98;19;-1;Þub.31;2.Þub;Oca.73;Oca.67;Oca.49;Nis.79;Haz.57
P1;9.11.2018;Moreirense FC;Portimonense SC;2;0;H;1;0;H;12;12;4;4;17;15;8;6;2;1;0;0;Þub.37;3.Nis;2.Eyl;2.Mar;3.Mar;3;Þub.35;Mar.25;Þub.85;Þub.48;Mar.38;3.Haz;Þub.38;3.Nis;2.Eyl;2.Nis;3.Mar;3;35;Þub.48;Þub.38;3.Nis;Mar.29;3.Þub;Þub.94;32;2.Oca;Oca.93;Oca.91;Oca.84;16;-0.25;Þub.13;2.May;Oca.84;Oca.78;Þub.58;Mar.19;3.Eyl
P1;9.11.2018;Vitória de Setúbal;CD Feirense;2;1;H;1;1;D;10;6;2;1;20;20;7;3;4;4;0;0;Oca.83;3.Nis;4.May;Oca.83;3.Mar;4.May;1.Eyl;3.Mar;4;Oca.83;Mar.66;Nis.77;1.Aðu;3.May;4.Haz;1.Aðu;3.Nis;5;35;1.Eyl;Oca.82;Mar.66;Mar.39;5;Nis.58;30;2.May;Þub.38;1.Haz;Oca.55;15;-1;Þub.82;Þub.63;Oca.55;Oca.48;Oca.79;Mar.57;May.29
P1;10.11.2018;CD Aves;Rio Ave FC;2;1;H;2;0;H;19;11;8;5;22;11;13;4;3;3;0;1;Þub.75;3.Nis;Þub.45;2.Aðu;Mar.25;Þub.45;2.Tem;3.Mar;Þub.45;Þub.84;Mar.45;Þub.57;Þub.75;3.Nis;2.May;2.Aðu;3.Nis;2.May;38;2.Eyl;Þub.78;Mar.46;Mar.33;Þub.58;Þub.46;35;2.May;Oca.95;Oca.93;Oca.83;19;0;2.Aðu;2.Mar;Oca.86;Oca.81;Þub.92;Mar.47;Þub.54
P1;10.11.2018;Os Belenenses;Boavista FC;0;0;D;0;0;D;12;11;2;3;23;26;4;2;5;6;0;0;Þub.25;3.Þub;Mar.25;2.Mar;3.Oca;3.Þub;Þub.25;3;3.Mar;Þub.28;Mar.26;3.May;2.Mar;3.Þub;Mar.25;2.Mar;Mar.13;3.Nis;38;Þub.35;Þub.27;Mar.26;3.Kas;Mar.53;Mar.32;33;Þub.55;Þub.41;1.Haz;Oca.54;19;-0.25;2;Oca.94;Oca.96;Oca.89;Þub.31;Mar.32;Mar.44
P1;10.11.2018;CD Nacional;Clube Sport Marítimo;1;0;H;0;0;D;16;9;3;2;12;22;0;3;3;2;0;0;2.Nis;3.Mar;Þub.87;Þub.35;3.Mar;Þub.95;2.Haz;3.Þub;2.Haz;Þub.51;3.Nis;Þub.95;Þub.45;3.Mar;Þub.88;2.Nis;3.Mar;3;37;2.Haz;Þub.42;Mar.43;Mar.27;3;Þub.91;35;2.May;Oca.98;1.Eyl;1.Aðu;19;-0.25;Þub.16;2.Tem;Oca.83;Oca.77;2.Aðu;Mar.17;Þub.84
P1;10.11.2018;FC Porto;SC Braga;1;0;H;0;0;D;17;10;3;2;16;18;9;5;1;1;0;0;1.Nis;4.May;7.May;Oca.45;4.May;Haz.25;1.May;4;6.Oca;1.Nis;Nis.72;Aðu.59;Oca.42;4.May;7.May;1.Nis;4.Haz;8;38;1.May;Oca.42;Nis.75;Nis.44;Aðu.59;Tem.56;35;Oca.92;Oca.85;2.May;Oca.94;22;-1;Oca.83;1.Tem;2.Mar;Þub.17;Oca.46;Nis.51;Tem.93
P1;11.11.2018;Vitória Guimarães;Santa Clara;2;0;H;1;0;H;20;7;6;1;15;11;10;3;1;2;0;0;Oca.57;3.Haz;6.May;1.Haz;3.Tem;May.75;Oca.75;3.Nis;Nis.65;1.Haz;Mar.98;6.Þub;Oca.62;3.Eyl;5.May;1.Haz;3.Eyl;6;37;Oca.75;Oca.59;4;Mar.75;6.May;May.78;35;2.Ara;2.Þub;Oca.85;Oca.76;21;-1;2.Nis;2.Eyl;Oca.85;Oca.76;1.Tem;Mar.66;5.Eyl
P1;11.11.2018;Sporting CP;GD Chaves;2;1;H;1;0;H;17;3;5;1;11;10;10;2;1;2;0;1;Oca.33;5;10;Oca.36;Nis.75;Tem.75;Oca.35;4.Tem;7.Eyl;Oca.32;5.Haz;Eyl.14;Oca.32;May.25;8.May;1.Mar;May.25;10.May;37;Oca.36;Oca.32;5.Haz;5.Ara;10.May;Aðu.73;33;Oca.73;Oca.65;Þub.35;2.Þub;19;-1.5;2.May;Oca.97;Oca.95;Oca.86;Oca.29;6.Haz;Eki.65
P1;11.11.2018;CD Tondela;SL Benfica;1;3;A;1;1;D;7;15;4;5;14;12;2;7;4;3;2;0;7.May;4.May;1.Nis;Tem.75;4.May;1.Nis;7;4;Oca.45;8.Eyl;4.May;Oca.41;7;4.Nis;Oca.44;8.May;4.May;1.Nis;37;9;Tem.78;4.Eyl;Nis.46;Oca.45;1.Nis;34;Oca.86;Oca.79;2.Tem;Oca.99;18;1;Þub.33;Þub.22;Oca.75;Oca.67;Eki.15;4.Aðu;Oca.38
P1;30.11.2018;Santa Clara;Os Belenenses;2;3;A;1;1;D;14;10;4;6;13;14;5;7;3;0;1;0;Þub.14;3.Oca;3.Haz;Þub.15;3.Þub;3.Nis;2.May;Mar.15;3.Haz;Þub.19;Mar.27;3.Aðu;2.Oca;3.Þub;3.Tem;2.Oca;Mar.25;Mar.75;38;Þub.25;Þub.13;3.Mar;Mar.18;Mar.88;Mar.58;35;Þub.45;Þub.31;Oca.73;Oca.59;20;-0.25;Oca.86;Oca.82;2.Tem;2.Oca;2.Þub;Mar.19;Mar.87
