Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
N1;10.03.2019;Vitesse;Feyenoord;1;1;D;0;1;A;19;19;7;7;9;8;6;6;1;1;0;0;3.Aðu;3.May;1.Eyl;3.Haz;3.Tem;2;Mar.55;Mar.55;Oca.93;Mar.72;Mar.77;2.Oca;3.Haz;3.Haz;Oca.95;3.Tem;Mar.75;Oca.95;33;3.Aðu;Mar.61;Mar.77;Mar.65;2.May;Oca.97;32;Oca.76;Oca.71;2.Þub;2.Ara;19;0.25;Þub.22;Þub.15;Oca.76;Oca.72;3.May;Mar.65;Þub.33
N1;10.03.2019;PEC Zwolle;AZ Alkmaar;0;0;D;0;0;D;11;14;4;5;11;12;7;6;0;0;0;0;4.May;Mar.75;Oca.72;4.Haz;3.Aðu;Oca.75;4.Þub;Mar.85;Oca.73;Nis.53;3.Eyl;Oca.79;Nis.33;3.Aðu;Oca.73;Nis.33;4;Oca.75;32;5;Nis.38;4.Oca;Mar.88;1.Aðu;Oca.75;29;Oca.65;Oca.58;Þub.45;Þub.35;19;0.75;Oca.95;Oca.88;2.Mar;Oca.96;Nis.14;3.Tem;Oca.92
N1;13.03.2019;Ajax;PEC Zwolle;2;1;H;1;0;H;17;7;7;3;9;13;7;4;2;3;0;1;1.May;13;26;1.Nis;16;36;1.May;11;24;1.Haz;14.53;33.09;1.Nis;13;36;1.May;15;36;31;1.Tem;1.May;19.May;14.Ara;50;33.3;31;Oca.16;Oca.13;6.May;May.61;18;-3.5;2.Þub;2.Oca;Oca.81;Oca.76;1.Eyl;Ara.28;23.67
N1;15.03.2019;Fortuna Sittard;FC Emmen;3;1;H;3;0;H;12;12;5;4;9;10;9;3;2;0;0;1;2.May;3.Haz;3.Mar;2.Oca;Mar.75;3.Mar;2.Oca;3.Haz;3.Oca;2.Þub;Mar.79;3.Þub;Þub.15;3.Haz;3.Oca;Þub.15;Mar.75;Mar.13;32;2.Þub;Þub.13;Mar.83;Mar.67;3.Mar;Mar.17;29;Oca.56;Oca.52;Þub.67;2.May;17;-0.25;Oca.93;Oca.87;2.Mar;Oca.95;2.Þub;Mar.75;Mar.22
N1;16.03.2019;Feyenoord;Willem II;2;3;A;1;1;D;20;10;7;7;11;8;10;5;1;0;0;0;Oca.25;6.May;10;Oca.22;Haz.25;13.May;Oca.25;5.Haz;9.Eyl;Oca.22;Haz.24;15.Ara;Oca.22;5.Aðu;12;Oca.25;Haz.25;11;33;1.Mar;Oca.24;6.Tem;6.Nis;15.Ara;12.May;31;Oca.55;Oca.49;Þub.75;Þub.58;20;-1.5;Oca.81;Oca.75;2.Þub;2.Ara;1.Mar;May.62;Eki.22
N1;16.03.2019;SC Heerenveen;De Graafschap;0;3;A;0;1;A;9;7;4;4;12;13;4;3;2;1;0;0;1.May;5;5;Oca.53;4.Nis;6;1.May;Nis.45;5.Mar;Oca.54;Nis.58;May.82;1.May;4.May;5.May;1.May;4.Aðu;May.75;34;Oca.55;Oca.51;5;Nis.53;Haz.35;May.66;32;1.May;Oca.44;2.Eyl;Þub.73;20;-1;Oca.85;Oca.82;2.Kas;2.Nis;Oca.54;Nis.78;5.May
N1;16.03.2019;Heracles Almelo;Vitesse;3;2;H;2;2;D;12;24;7;6;7;14;4;6;1;3;0;1;3;3.Haz;2.Þub;Þub.85;3.Haz;Þub.35;Þub.85;3.Haz;Þub.25;Þub.87;Mar.84;Þub.36;Þub.88;3.Haz;Þub.25;Þub.88;Mar.75;2.Mar;33;3;Þub.85;3.Eyl;Mar.68;Þub.45;Þub.31;30;1.Haz;Oca.56;2.May;2.Nis;18;0.25;1.Eyl;Oca.84;2.Aðu;2.Þub;3.Mar;Mar.86;Þub.26
N1;16.03.2019;NAC Breda;FC Utrecht;0;4;A;0;2;A;8;17;1;5;23;7;1;4;2;1;0;0;4.May;3.Aðu;Oca.72;4.May;3.Eyl;Oca.75;4.Mar;Mar.65;Oca.75;4.May;Mar.81;Oca.82;4.Nis;3.Tem;Oca.75;Nis.33;3.Aðu;1.Aðu;33;Nis.65;Nis.41;Mar.95;Mar.75;Oca.82;Oca.78;32;Oca.82;Oca.76;Þub.13;2.May;19;0.75;1.Eyl;Oca.83;2.Tem;2.Oca;Nis.76;4.Oca;Oca.72
N1;17.03.2019;AZ Alkmaar;Ajax;1;0;H;0;0;D;17;15;8;6;14;13;2;7;0;1;0;0;Nis.75;Nis.75;Oca.55;4.Haz;Nis.75;1.Haz;Nis.55;4.Haz;Oca.57;Nis.71;5.Þub;1.Haz;4.Aðu;Nis.75;Oca.53;5;4.Aðu;Oca.55;33;5;Nis.67;5.Þub;Nis.73;Oca.64;Oca.58;31;Oca.35;Oca.31;3.Haz;Mar.36;20;1;2;Oca.93;Oca.97;Oca.92;4.Aðu;4.Haz;Oca.64
N1;17.03.2019;Excelsior;PEC Zwolle;0;2;A;0;0;D;6;20;1;8;8;11;6;11;0;2;0;0;3;3.May;Þub.25;3;3.Haz;2.Mar;2.Eyl;3.May;Þub.25;Þub.94;Mar.67;Þub.39;Þub.88;3.Haz;Þub.25;3;3.Haz;2.Mar;34;3.May;Þub.92;3.Aðu;Mar.57;Þub.47;Þub.29;32;1.Tem;Oca.66;2.Mar;2.Þub;19;0.25;1.Eyl;Oca.84;2.Tem;2;Þub.91;3.Haz;Þub.45
