Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
T1;19.10.2018;Galatasaray SK;Bursaspor;1;1;D;0;0;D;10;13;3;3;6;18;1;6;1;5;0;0;Oca.53;4;6;1.May;4.Oca;May.75;Oca.57;Mar.85;5.Haz;Oca.56;4.Oca;Haz.85;Oca.57;4;5.Aðu;Oca.53;4.Oca;6;38;Oca.61;Oca.53;Nis.45;Mar.99;Tem.25;Haz.15;36;1.Eyl;Oca.84;2.Aðu;Oca.94;22;-1;2;Oca.93;Þub.21;Oca.88;Oca.62;4.Nis;May.83
T1;20.10.2018;Medipol Baþakþehir FK;Kayserispor;1;0;H;1;0;H;14;7;3;2;15;14;8;4;4;3;0;0;Oca.44;4.Þub;7.May;Oca.45;Nis.33;Haz.25;Oca.46;Nis.15;6.May;Oca.41;4.Haz;Aðu.31;Oca.44;4.Nis;7;Oca.44;4.Nis;7;36;1.May;Oca.43;Nis.61;Nis.33;Aðu.31;7.Eyl;35;Oca.86;Oca.78;2.Ara;2.Oca;21;-1;Oca.79;Oca.71;Þub.26;Þub.14;Oca.41;Nis.59;8.Tem
T1;20.10.2018;Kasimpaþa SK;Akhisar Belediyespor;5;0;H;0;0;D;16;16;6;5;18;16;3;7;1;3;0;0;Oca.75;3.Haz;4.May;1.Aðu;3.May;4.Þub;Oca.73;3.Eyl;4.Oca;Oca.78;4.May;Nis.42;Oca.78;4;4;Oca.75;4.Oca;4.Oca;38;Oca.81;Oca.76;4.Þub;Mar.83;4.May;Nis.15;32;1.Haz;Oca.56;2.Haz;Þub.39;17;-0.75;2.Nis;Oca.98;Oca.89;Oca.85;2.Þub;Mar.58;Mar.88
T1;20.10.2018;Sivasspor;Fenerbahçe SK;0;0;D;0;0;D;17;13;4;4;14;14;3;4;2;1;0;0;3.Þub;3.Nis;2.Þub;3.Nis;3.Nis;2.May;Mar.15;3.Nis;Þub.15;Mar.35;Mar.48;Þub.21;3.Þub;3.Nis;2.Þub;3.Þub;3.Nis;2.Þub;38;3.Nis;Mar.21;Mar.65;Mar.39;Þub.26;Þub.17;36;Oca.83;Oca.77;Þub.15;2.Þub;18;0.25;Oca.97;Oca.92;Oca.96;1.Eyl;Mar.15;Mar.54;Þub.32
T1;21.10.2018;Alanyaspor;Antalyaspor;0;1;A;0;1;A;12;10;0;3;15;14;7;4;3;4;1;0;2;3.May;3.Haz;Oca.95;3.May;3.Haz;Oca.95;Mar.55;3.May;2;Mar.72;3.Tem;2;3.Haz;3.May;2;3.Haz;3.May;36;2.Tem;Oca.99;Mar.72;Mar.52;Mar.75;Mar.52;35;Oca.81;Oca.75;Þub.14;2.Mar;17;-0.25;1.Aðu;Oca.74;Þub.18;2.Eyl;Þub.13;Mar.47;Mar.66
T1;21.10.2018;MKE Ankaragücü;Yeni Malatyaspor;1;0;H;1;0;H;7;10;3;2;21;19;6;6;4;4;0;0;Þub.54;3.Oca;Þub.87;2.Nis;Mar.25;2.Aðu;Þub.55;3.May;Þub.75;Þub.71;3.Þub;Þub.82;2.Haz;3.Þub;Þub.75;2.Haz;3.Þub;Þub.75;36;Þub.71;Þub.56;Mar.25;Mar.14;3;Þub.76;35;Þub.31;Þub.21;1.Aðu;Oca.64;17;-0.25;Þub.29;2.Þub;Oca.74;Oca.68;3.Aðu;Mar.18;Þub.55
T1;21.10.2018;Göztepe SK;Beþiktaþ JK;2;0;H;0;0;D;10;10;5;2;18;14;5;6;3;2;0;0;3.May;3.Nis;2.Nis;3.Nis;3.Nis;2.May;3.Nis;Mar.35;2.May;Mar.65;Mar.41;2.Ara;3.Nis;3.Mar;Þub.15;3.Nis;3.May;2.Oca;37;3.Tem;Mar.43;3.Haz;Mar.39;Þub.15;2.Tem;35;Oca.87;Oca.81;2.Oca;Oca.97;17;0.25;2.Tem;2.Oca;Oca.86;Oca.81;Mar.87;Mar.56;2.Mar
T1;21.10.2018;Çaykur Rizespor;Atiker Konyaspor;1;1;D;1;0;H;9;14;3;4;20;21;3;7;2;0;1;0;3.Þub;3.Þub;Þub.25;3.Þub;3.Þub;2.Þub;3;Mar.25;Þub.25;3.Eyl;Mar.49;Þub.34;2.Eyl;3.May;Þub.35;3;3.Nis;2.Mar;36;3.Þub;3.Þub;3.May;3.Mar;2.Nis;2.Mar;34;2.Þub;Oca.96;1.Eyl;Oca.81;17;0.25;Oca.86;Oca.82;2.Haz;2;Mar.17;Mar.26;Þub.45
T1;22.10.2018;Trabzonspor;BB Erzurumspor;0;0;D;0;0;D;13;10;1;4;10;14;7;5;1;3;0;0;Oca.44;Nis.33;7;Oca.44;Nis.25;Haz.75;Oca.45;Nis.45;6.Oca;Oca.46;Nis.67;Haz.78;Oca.47;Nis.75;6;Oca.45;4.Haz;6.May;37;Oca.49;Oca.44;4.Eyl;Nis.44;7;Haz.34;32;Oca.62;Oca.58;Þub.45;2.Mar;20;-1;Oca.81;Oca.75;Þub.16;2.Aðu;Oca.48;Nis.64;Haz.83
T1;26.10.2018;Bursaspor;Alanyaspor;2;0;H;2;0;H;12;7;7;0;17;17;2;6;1;0;0;;1.Aðu;3.May;4.May;Oca.85;3.May;4;Oca.77;Mar.35;Nis.65;1.Aðu;3.Haz;Nis.95;1.Aðu;3.May;4.Haz;1.Aðu;3.Nis;Nis.75;35;Oca.86;Oca.81;3.Haz;Mar.44;5.Þub;Nis.59;32;Þub.33;Þub.24;1.Tem;Oca.63;16;-0.5;Oca.85;1.Aðu;2.Ara;2.Haz;Oca.84;Mar.42;5.Mar
T1;27.10.2018;Antalyaspor;Trabzonspor;1;1;D;1;1;D;12;11;7;4;14;15;5;3;2;1;0;0;3.Þub;3.Nis;2.Þub;3.Oca;3.Nis;Þub.15;3.Oca;3.May;Þub.15;3.Kas;Mar.82;2.Þub;3.Þub;3.Tem;2.Oca;Mar.25;3.May;Þub.15;36;3.Mar;3.Ara;Mar.82;Mar.52;Þub.22;Þub.15;34;Oca.86;Oca.78;2.Oca;2;17;0.25;2.Þub;Oca.95;Oca.92;Oca.87;Mar.37;4;2.Haz
T1;27.10.2018;BB Erzurumspor;Kasimpaþa SK;1;1;D;1;0;H;14;18;5;7;18;9;6;8;4;1;1;0;2.Tem;3.Nis;2.May;2.Tem;3.Nis;2.Nis;2.Haz;3.Nis;2.May;Þub.77;Mar.37;Þub.65;Þub.62;3.Nis;Þub.55;Þub.63;3.Haz;2.May;35;Þub.85;Þub.65;3.Haz;Mar.38;Þub.65;Þub.52;31;Oca.75;Oca.66;Þub.25;Þub.18;17;0.25;Oca.72;Oca.68;Þub.29;2.Þub;Þub.25;Mar.63;3.Þub
T1;27.10.2018;Atiker Konyaspor;Medipol Baþakþehir FK;0;1;A;0;0;D;9;7;1;4;11;15;3;2;1;0;0;0;2.Eyl;3.Oca;2.May;3;3.Oca;Þub.35;2.Eyl;3;2.May;3.Oca;3.Kas;Þub.62;2.Eyl;3.Oca;Þub.55;Þub.88;Mar.13;Þub.55;36;3.May;2.Eyl;3.Þub;3.Aðu;Þub.62;Þub.51;32;2.Nis;Þub.25;Oca.65;Oca.61;17;0;2.Oca;2.Nis;Oca.86;Oca.79;Þub.88;3.Ara;Þub.76
