Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HFKC;AFKC;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
B1;27.10.2018;Sint-Truidense VV;Club Brugge KV;2;2;D;1;2;A;9;8;4;5;10;15;6;2;2;1;0;0;Nis.33;4;Oca.72;4.Haz;3.Eyl;Oca.75;Nis.15;Mar.75;Oca.75;Nis.46;Mar.74;Oca.82;4;3.Eyl;Oca.78;4.Oca;4;Oca.75;35;4.Haz;4.Mar;4.Oca;Mar.83;Oca.83;Oca.77;31;Oca.65;Oca.59;Þub.38;Þub.28;17;0.75;Oca.92;Oca.84;2.May;Oca.98;Nis.47;Mar.68;Oca.85
B1;27.10.2018;SV Zulte-Waregem;Royal Excel Mouscron;2;2;D;2;1;H;8;12;6;4;11;19;8;3;2;2;0;0;Oca.61;4;5;Oca.62;4.Oca;May.25;Oca.63;4;Nis.65;Oca.67;4.Oca;Nis.96;Oca.62;4.Þub;4.Aðu;1.Haz;4.Þub;5;37;1.Tem;Oca.64;4.Mar;4.Aðu;May.25;4.Eyl;32;Oca.62;Oca.58;Þub.45;Þub.31;20;-1;Þub.19;2.Oca;Oca.82;Oca.74;Oca.74;Mar.88;Nis.96
B1;28.10.2018;KAS Eupen;RSC Anderlecht;2;1;H;2;0;H;5;9;5;5;19;13;4;12;2;1;0;0;4.May;4;1.Tem;4.Oca;4.Þub;Oca.75;Nis.15;3.Eyl;1.Tem;4.Mar;4.Aðu;Oca.77;4.Þub;4;Oca.73;4.Nis;4.Oca;1.Tem;34;4.May;Nis.22;4.Þub;Mar.99;1.Aðu;Oca.74;30;Oca.61;Oca.53;2.May;Þub.41;15;0.75;Oca.97;Oca.91;Oca.97;Oca.92;4.Oca;Mar.69;Oca.93
B1;28.10.2018;Standard de Liège;KRC Genk;1;1;D;0;0;D;11;12;6;6;16;19;5;4;2;2;0;0;3;Mar.25;Þub.37;3;3.Haz;2.Mar;2.Aðu;3.May;Þub.25;Þub.88;Mar.72;Þub.37;Þub.75;3.Haz;Þub.35;2.Aðu;3.Tem;2.Mar;35;3;Þub.86;Mar.72;Mar.53;2.Nis;Þub.32;31;Oca.67;Oca.63;Þub.32;Þub.21;17;0.25;Oca.85;1.Aðu;2.Aðu;2.Mar;Mar.21;Mar.91;Þub.15
B1;28.10.2018;Waasland-Beveren;Royal Antwerp FC;0;1;A;0;0;D;15;13;6;6;19;7;5;8;2;1;0;0;Nis.75;Mar.75;Oca.72;Nis.33;3.Aðu;1.Aðu;Nis.35;Mar.65;Oca.73;Nis.36;Mar.95;Oca.79;4.Þub;3.Aðu;Oca.75;4.Haz;3.Haz;Oca.75;33;Nis.75;Nis.36;Mar.95;Mar.74;Oca.81;Oca.77;31;2.Mar;Oca.95;1.Eyl;Oca.82;15;0.75;Oca.85;Oca.82;2.Tem;2.Oca;Nis.67;3.Eyl;Oca.77
B1;30.10.2018;Sporting de Charleroi;Sint-Truidense VV;1;0;H;0;0;D;14;9;8;4;7;16;6;2;1;2;0;0;1.Eyl;3.Haz;Mar.75;Oca.91;3.Tem;3.Eyl;Oca.87;Mar.55;3.Aðu;Oca.94;Mar.81;Mar.92;Oca.88;3.Tem;3.Tem;Oca.91;3.Haz;3.Eyl;37;2;Oca.92;Mar.81;Mar.64;4.May;3.Aðu;35;1.Eyl;Oca.82;2.Nis;Oca.97;18;-0.75;Þub.26;Þub.19;Oca.75;Oca.69;2.Þub;3.May;Mar.94
B1;30.10.2018;Club Brugge KV;KV Oostende;4;0;H;3;0;H;15;11;9;6;9;21;8;2;1;4;0;0;Oca.36;May.25;7;Oca.36;5.May;Tem.75;Oca.37;Nis.95;6.Haz;Oca.34;May.48;Aðu.79;Oca.36;May.25;7;Oca.36;5.Þub;7.May;37;Oca.42;Oca.35;May.75;May.21;8.Eyl;Tem.66;36;Oca.45;Oca.42;2.Eyl;Þub.74;19;-1.75;Þub.35;Þub.26;1.Tem;Oca.64;Oca.29;May.84;Eki.33
B1;30.10.2018;Royal Excel Mouscron;KAA Gent;3;1;H;2;0;H;17;18;9;7;25;9;6;4;2;0;0;0;5.May;4.Þub;Oca.55;May.25;4.Oca;Oca.62;5.Oca;4.Oca;Oca.57;May.33;Nis.36;Oca.61;5;Nis.33;Oca.57;5.Nis;4.Þub;Oca.57;37;5.May;May.22;Nis.45;Nis.16;Oca.65;Oca.59;33;1.Tem;Oca.64;2.Mar;Þub.21;21;1;1.Eyl;Oca.84;2.Oca;Oca.98;May.51;Nis.35;1.Haz
B1;31.10.2018;Royal Antwerp FC;KRC Genk;2;4;A;2;0;H;12;18;8;12;15;12;5;6;3;3;0;0;3.Mar;3.May;2.Oca;3.May;3.Haz;2.May;3.Mar;3.Haz;2;Mar.44;Mar.72;2.Eyl;3.Mar;3.Haz;2.May;3.Mar;3.Tem;2.May;35;Mar.55;Mar.33;Mar.85;Mar.63;Þub.13;2.Haz;33;1.Tem;Oca.63;2.Mar;Þub.22;17;0.25;Þub.13;2.Nis;Oca.86;Oca.79;Mar.41;Mar.63;Þub.16
B1;31.10.2018;KAS Eupen;KSV Cercle Brugge;2;0;H;0;0;D;12;6;6;5;17;19;7;5;2;3;0;0;2.Nis;3.May;3.Nis;2.May;3.May;3.Haz;2;Mar.45;Mar.45;2.Tem;Mar.61;3.Haz;2.May;3.Haz;3.Mar;2.May;3.Haz;3.Nis;36;2.Oca;2.Nis;3.Tem;Mar.52;3.Tem;Mar.46;34;Oca.85;Oca.81;2.May;Oca.97;18;-0.25;Oca.83;Oca.77;Þub.14;2.Haz;2.Oca;Mar.51;Mar.68
B1;31.10.2018;KV Kortrijk;Waasland-Beveren;2;2;D;2;0;H;16;9;10;5;15;11;9;5;2;2;0;0;1.May;4.May;6;1.May;Nis.33;6.May;Oca.47;Nis.25;6;Oca.49;4.May;6.May;Oca.47;4.Nis;6;Oca.45;4.Nis;6.May;34;Oca.55;Oca.49;Nis.65;Nis.35;6.May;6.Þub;32;Oca.75;Oca.68;Þub.21;Þub.13;20;-1;Oca.85;1.Aðu;2.Oca;2.Mar;Oca.61;4.Oca;6
B1;1.11.2018;RSC Anderlecht;Sporting Lokeren;1;1;D;0;0;D;11;5;4;3;15;19;5;4;0;1;0;0;Oca.25;5.May;12;Oca.25;Haz.25;11.May;Oca.25;5.Tem;9.May;Oca.23;Haz.21;Ara.31;Oca.27;5.Aðu;9.May;Oca.25;6;10.May;35;1.Mar;Oca.25;6.May;6.Oca;Ara.31;Eki.71;32;Oca.45;Oca.43;Þub.88;2.Tem;17;-1.5;Oca.81;Oca.72;Þub.25;Þub.13;Oca.25;Haz.24;12.Aðu
