Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
F1;31.08.2018;Olympique Lyonnais;OGC Nice;0;1;A;0;0;D;29;8;9;1;6;14;10;5;0;2;0;0;Oca.33;May.25;9.May;Oca.34;May.25;Aðu.75;Oca.45;4.Nis;7.Þub;Oca.36;May.48;Eyl.39;Oca.36;4.Aðu;8;Oca.33;May.25;10;39;Oca.45;Oca.35;5.May;5.Ara;10;Aðu.59;35;Oca.66;Oca.59;Þub.44;Þub.32;20;-1.5;2.Aðu;2.Mar;Oca.88;Oca.84;Oca.44;Nis.86;Tem.81
F1;1.09.2018;Angers SCO;LOSC Lille;1;0;H;0;0;D;6;17;3;4;14;8;4;5;0;1;1;0;Þub.45;Mar.25;3;2.May;3.Mar;Þub.85;2.May;3.Þub;Þub.95;Þub.54;Mar.26;3.Haz;Þub.45;Mar.25;2.Eyl;Þub.45;3.Þub;Mar.13;41;Þub.55;Þub.45;3.Mar;Mar.19;Mar.13;Þub.98;37;Þub.28;Þub.17;Oca.73;Oca.67;20;-0.25;Þub.17;2.Eyl;Oca.82;Oca.78;Þub.82;Mar.35;Þub.68
F1;1.09.2018;Dijon FCO;Stade Malherbe Caen;0;2;A;0;1;A;15;9;2;4;11;13;9;5;0;3;0;0;1.Eyl;3.Nis;Nis.33;1.Eyl;3.Nis;Nis.33;2;3.Mar;4;Oca.91;Mar.43;Nis.59;Oca.95;3.Nis;4;Oca.93;3.Nis;4.Nis;39;2;1.Eyl;Mar.51;3.Nis;4.Haz;Nis.27;37;2.Ara;2.May;Oca.82;Oca.76;16;-0.25;Oca.66;Oca.63;Þub.39;Þub.34;Oca.94;Mar.49;Nis.47
F1;1.09.2018;En Avant de Guingamp;Toulouse Football Club;1;2;A;1;2;A;23;5;5;4;12;13;11;4;3;2;0;1;2.Nis;3.Nis;Mar.75;2.May;3.Nis;Mar.75;2.Þub;3.Mar;3.Nis;2.Aðu;Mar.62;Mar.76;2.May;3.May;3.May;2.May;3.Nis;3.Eyl;39;2.Þub;2.May;Mar.62;Mar.42;3.Eyl;Mar.65;35;2.Ara;2.May;Oca.84;Oca.76;17;-0.25;1.Aðu;Oca.76;Þub.19;2.Ara;Þub.26;Mar.42;Mar.45
F1;1.09.2018;Nîmes Olympique;Paris Saint-Germain;2;4;A;0;2;A;14;7;6;5;12;11;3;4;1;3;1;1;11;7;Oca.22;12.May;7.May;Oca.19;12.May;6.May;Oca.22;Ara.43;7.Nis;Oca.23;10;7;Oca.22;13;7.May;1.Þub;40;14;Kas.58;Tem.64;7.Mar;Oca.25;Oca.21;33;Oca.35;Oca.32;3.May;Mar.25;22;2;Oca.92;Oca.88;2.May;Oca.97;14.Mar;7.Eyl;Oca.23
F1;1.09.2018;Stade de Reims;Montpellier HSC;0;1;A;0;0;D;21;9;6;3;11;11;5;5;0;0;0;0;2.Haz;3.Oca;2.Eyl;Þub.65;Þub.95;3;2.Haz;3.Þub;2.Aðu;Þub.59;Mar.19;3.Tem;2.May;3.Þub;2.Eyl;Þub.63;3;3.Oca;39;2.Tem;Þub.57;3.Þub;3.Tem;3.Oca;Þub.94;34;Þub.62;Þub.48;Oca.57;Oca.52;18;0;Oca.84;1.Aðu;Þub.13;2.Tem;3.Kas;3;Þub.69
F1;1.09.2018;RC Strasbourg Alsace;FC Nantes;2;3;A;1;2;A;10;14;5;5;12;12;1;3;1;2;0;0;2.Mar;3.Oca;3.Nis;Þub.25;3.Oca;3.May;2.Oca;Mar.25;3.Tem;2.Nis;3.Kas;Mar.48;Þub.38;3.Oca;3.Þub;Þub.38;3.Oca;3.Nis;39;Þub.43;Þub.31;Mar.25;3.Aðu;3.Tem;Mar.36;34;Þub.46;Þub.38;Oca.62;Oca.56;19;-0.25;2.Nis;Oca.99;1.Eyl;Oca.87;2.Aðu;3.May;Mar.85
F1;2.09.2018;AS Monaco;Olympique de Marseille;2;3;A;0;1;A;8;15;4;5;11;16;1;5;1;1;0;0;2.Aðu;3.Mar;Þub.54;2.Tem;3.May;Þub.55;2.Haz;3.Nis;2.Tem;Þub.71;Mar.85;Þub.53;2.Haz;Mar.75;Þub.45;2.Tem;3.Haz;Þub.55;40;2.Aðu;Þub.67;Mar.85;Mar.56;2.Tem;Þub.52;35;Oca.69;Oca.64;Þub.35;Þub.22;19;0;2.Nis;Oca.99;1.Eyl;Oca.87;3.Oca;Mar.74;Þub.35
F1;2.09.2018;Stade Rennais FC;FC Girondins de Bordeaux;2;0;H;2;0;H;16;8;8;1;12;14;6;5;0;3;0;0;2.Oca;3.Mar;Mar.75;2.Oca;Mar.25;3.Tem;Þub.15;3.Mar;3.May;Þub.13;Mar.36;Mar.86;2.May;3.Nis;3.Haz;2.Oca;Mar.25;3.Eyl;40;Þub.17;2.Eyl;3.Nis;Mar.25;3.Eyl;Mar.68;34;Þub.38;Þub.28;Oca.65;1.Haz;18;-0.25;Oca.83;Oca.79;Þub.13;2.Eyl;Þub.19;Mar.16;Mar.96
F1;2.09.2018;AS Saint-Étienne;Amiens SC;0;0;D;0;0;D;19;9;5;2;11;12;14;1;3;2;0;0;Oca.61;Mar.75;6;Oca.62;Mar.75;6;Oca.65;3.Aðu;5.Nis;Oca.65;Mar.85;Haz.32;Oca.62;3.Aðu;5.May;Oca.65;Mar.75;6;40;Oca.71;Oca.64;Mar.87;Mar.71;Haz.32;May.75;37;Þub.21;2.Kas;Oca.78;Oca.71;22;-1;Þub.24;Þub.17;Oca.77;Oca.71;Oca.65;3.Haz;Tem.15
