Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
I1;9.11.2018;Frosinone;Fiorentina;1;1;D;0;0;D;5;16;3;10;8;12;4;5;3;0;0;0;May.25;3.Haz;1.Tem;May.25;3.Tem;1.Tem;5.Oca;3.May;Oca.75;May.29;Mar.66;Oca.77;4.Aðu;3.Tem;Oca.73;May.75;3.Haz;Oca.73;38;May.75;5.Eyl;3.Aðu;Mar.65;1.Aðu;Oca.74;36;2.Tem;Oca.98;1.Eyl;Oca.83;22;1;1.Tem;Oca.63;Þub.41;Þub.34;May.23;Mar.61;Oca.79
I1;10.11.2018;Genoa;Napoli;1;2;A;1;0;H;8;13;3;7;15;6;2;7;4;2;0;0;7;4.May;Oca.44;6.May;Nis.33;1.May;6.Nis;Nis.45;1.May;Haz.69;Nis.54;Oca.51;6.May;Nis.33;1.May;7.May;4.Haz;Oca.45;38;7.May;Haz.62;4.Tem;Nis.47;Oca.53;Oca.49;36;Oca.75;1.Tem;Þub.25;Þub.14;22;1;Þub.16;2.Tem;Oca.84;Oca.79;8.Tem;Nis.84;Oca.42
I1;10.11.2018;Spal;Cagliari;2;2;D;1;0;H;8;11;4;3;13;15;1;6;2;4;0;0;Þub.45;3.Oca;3.Oca;2.Haz;3.Oca;Þub.95;2.Haz;3.May;2.Eyl;Þub.71;3.Tem;3.Mar;Þub.55;3;3.Oca;2.Haz;3;3.Oca;38;Þub.71;Þub.59;3.Þub;3.Nis;3.Ara;Þub.99;36;Þub.38;Þub.25;Oca.72;Oca.64;19;-0.25;Þub.27;Þub.18;Oca.76;Oca.72;Þub.64;Mar.15;3.May
I1;10.11.2018;Torino;Parma;1;2;A;1;2;A;12;11;4;7;14;17;7;7;2;4;0;0;Oca.44;4.Þub;8.May;Oca.45;Nis.33;7.May;1.May;Nis.25;6.Haz;Oca.46;Nis.54;Tem.84;Oca.47;4.Nis;7;Oca.44;4.Nis;9;38;1.May;Oca.46;4.Tem;Nis.42;9;Tem.49;36;Oca.96;Oca.88;2;Oca.91;22;-1;1.Aðu;Oca.74;Þub.21;Þub.14;1.May;Nis.14;8.Kas
I1;11.11.2018;Atalanta;Inter;4;1;H;1;0;H;16;6;10;2;11;13;9;6;3;5;0;1;Þub.75;3.Mar;2.Haz;Þub.75;3.Nis;Þub.55;2.Tem;3.Nis;2.Haz;Þub.78;Mar.46;Þub.66;2.Tem;3.Nis;2.Haz;2.Aðu;3.Mar;2.Tem;38;Þub.88;Þub.76;3.May;Mar.36;2.Tem;Þub.59;36;Oca.95;Oca.86;2.Oca;Oca.93;19;0;2.Oca;Oca.98;Oca.93;Oca.88;Þub.82;Mar.49;Þub.61
I1;11.11.2018;Chievo Verona;Bologna;2;2;D;2;1;H;12;12;6;6;15;18;5;6;3;3;0;0;2.Eyl;3.Þub;2.Haz;Þub.85;3;2.Tem;2.Eyl;3.Oca;2.Haz;Þub.96;Mar.17;Þub.69;Þub.88;3.Oca;Þub.62;3;3;2.Tem;38;3;2.Eyl;3.Þub;3.Aðu;Þub.75;Þub.64;36;Þub.45;Þub.33;Oca.65;1.Haz;19;0;2.May;2.Oca;Oca.88;Oca.85;3.Eyl;Mar.15;Þub.61
I1;11.11.2018;Empoli;Udinese;2;1;H;1;0;H;9;22;5;9;6;11;4;13;2;2;0;0;2.Þub;3.Mar;3.May;2.Mar;3.Mar;3.Þub;2.Þub;3.Mar;Mar.35;Þub.28;Mar.42;Mar.39;Þub.25;3.Mar;3.Mar;Þub.25;3.Þub;3.May;38;Þub.32;Þub.25;Mar.45;Mar.31;3.May;Mar.31;36;2.Kas;2.Mar;Oca.85;Oca.78;19;-0.25;Oca.96;Oca.93;Oca.99;Oca.94;2.Haz;Mar.51;Mar.91
I1;11.11.2018;Milan;Juventus;0;2;A;0;1;A;5;12;2;8;16;9;2;5;3;1;1;0;Nis.75;Mar.75;Oca.72;Nis.75;3.Eyl;Oca.72;4.Oca;3.May;1.Eyl;Nis.91;Mar.88;Oca.76;4.Nis;3.Aðu;Oca.78;5.Þub;3.Haz;Oca.75;38;5.Þub;Nis.71;4;Mar.75;1.Eyl;Oca.75;36;2.Eyl;Oca.95;Oca.92;Oca.84;19;0.75;Oca.95;Oca.89;2.Mar;Oca.98;May.42;Mar.61;Oca.76
I1;11.11.2018;Roma;Sampdoria;4;1;H;1;0;H;10;4;6;3;8;10;7;7;1;1;0;0;Oca.44;4.May;7;Oca.45;4.Haz;7;1.May;4.Mar;6.May;Oca.47;Nis.71;7.Mar;Oca.47;4.Haz;6.May;Oca.44;4.Haz;7.May;37;1.May;Oca.46;4.Eyl;Nis.58;7.May;Haz.76;34;Oca.61;Oca.55;Þub.55;Þub.42;21;-1;1.Aðu;Oca.74;Þub.23;Þub.14;Oca.42;5.Þub;Tem.85
I1;11.11.2018;Sassuolo;Lazio;1;1;D;1;1;D;9;7;4;3;15;21;2;6;4;3;0;0;4;3.May;Oca.95;3.Eyl;3.Haz;Oca.95;3.Aðu;3.Nis;2;Mar.99;Mar.55;2.Þub;3.Haz;3.May;2.May;4;3.Haz;Oca.95;38;4.May;Mar.82;Mar.75;Mar.54;2.May;Oca.98;36;Oca.77;Oca.72;2.Þub;2.Kas;19;0.25;Þub.25;Þub.18;Oca.75;Oca.72;Mar.97;Mar.63;2.Oca
